,ANIO,ID_INDICADOR,VALOR,ID_CONTINENTE,ID_INCOME,ID_PAIS
0,1992,1,3.71,1,2,0
1,1993,1,3.96,1,2,0
2,1994,1,4.06,1,2,0
3,1995,1,4.28,1,2,0
4,1996,1,4.53,1,2,0
5,1997,1,4.62,1,2,0
6,1998,1,4.72,1,2,0
7,1999,1,4.76,1,2,0
8,2000,1,4.95,1,2,0
9,2001,1,4.85,1,2,0
10,2002,1,8.48,1,2,0
11,2003,1,7.82,1,2,0
12,2004,1,7.09,1,2,0
13,2005,1,7.02,1,2,0
14,2006,1,7.13,1,2,0
15,2007,1,7.33,1,2,0
16,2008,1,6.93,1,2,0
17,2009,1,6.93,1,2,0
18,2010,1,6.48,1,2,0
19,2011,1,6.06,1,2,0
20,2012,1,5.97,1,2,0
21,2013,1,5.92,1,2,0
22,2014,1,5.97,1,2,0
23,2015,1,5.42,1,2,0
24,2016,1,6.33,1,2,0
25,2017,1,6.32,1,2,0
26,2018,1,7.55,1,2,0
27,2019,1,7.6,1,2,0
28,2020,1,5.4,1,2,0
29,2021,1,4.52,1,2,0
30,1992,1,7.9,4,0,1
31,1993,1,8.5,4,0,1
32,1994,1,9.52,4,0,1
33,1995,1,9.45,4,0,1
34,1996,1,9.65,4,0,1
35,1997,1,8.99,4,0,1
36,1998,1,8.97,4,0,1
37,1999,1,9.77,4,0,1
38,2000,1,9.45,4,0,1
39,2001,1,9.33,4,0,1
40,2002,1,9.58,4,0,1
41,2003,1,9.81,4,0,1
42,2004,1,9.14,4,0,1
43,2005,1,8.86,4,0,1
44,2006,1,8.88,4,0,1
45,2007,1,9.68,4,0,1
46,2008,1,8.85,4,0,1
47,2009,1,8.97,4,0,1
48,2010,1,8.54,4,0,1
49,2011,1,8.2,4,0,1
50,2012,1,7.78,4,0,1
51,2013,1,8.23,4,0,1
52,2014,1,8.87,4,0,1
53,2015,1,8.78,4,0,1
54,2016,1,10.0,4,0,1
55,2017,1,10.1,4,0,1
56,2018,1,10.01,4,0,1
57,2019,1,10.28,4,0,1
58,2020,1,6.67,4,0,1
59,2021,1,5.53,4,0,1
60,1992,1,21.6,3,2,2
61,1993,1,22.17,3,2,2
62,1994,1,25.81,3,2,2
63,1995,1,14.27,3,2,2
64,1996,1,21.24,3,2,2
65,1997,1,23.63,3,2,2
66,1998,1,28.98,3,2,2
67,1999,1,23.94,3,2,2
68,2000,1,29.03,3,2,2
69,2001,1,28.38,3,2,2
70,2002,1,23.96,3,2,2
71,2003,1,25.46,3,2,2
72,2004,1,27.67,3,2,2
73,2005,1,26.02,3,2,2
74,2006,1,27.17,3,2,2
75,2007,1,26.95,3,2,2
76,2008,1,25.53,3,2,2
77,2009,1,22.91,3,2,2
78,2010,1,19.68,3,2,2
79,2011,1,19.13,3,2,2
80,2012,1,21.26,3,2,2
81,2013,1,21.69,3,2,2
82,2014,1,25.66,3,2,2
83,2015,1,25.71,3,2,2
84,2016,1,26.39,3,2,2
85,2017,1,25.8,3,2,2
86,2018,1,25.29,3,2,2
87,2019,1,25.31,3,2,2
88,2020,1,18.73,3,2,2
89,2021,1,20.68,3,2,2
90,1992,1,8.43,1,1,3
91,1993,1,8.77,1,1,3
92,1994,1,8.92,1,1,3
93,1995,1,8.08,1,1,3
94,1996,1,7.36,1,1,3
95,1997,1,9.37,1,1,3
96,1998,1,8.99,1,1,3
97,1999,1,9.11,1,1,3
98,2000,1,9.51,1,1,3
99,2001,1,8.98,1,1,3
100,2002,1,10.17,1,1,3
101,2003,1,12.61,1,1,3
102,2004,1,12.81,1,1,3
103,2005,1,14.02,1,1,3
104,2006,1,13.2,1,1,3
105,2007,1,12.11,1,1,3
106,2008,1,10.59,1,1,3
107,2009,1,9.99,1,1,3
108,2010,1,9.45,1,1,3
109,2011,1,10.84,1,1,3
110,2012,1,11.25,1,1,3
111,2013,1,11.56,1,1,3
112,2014,1,12.78,1,1,3
113,2015,1,12.36,1,1,3
114,2016,1,12.09,1,1,3
115,2017,1,12.09,1,1,3
116,2018,1,11.29,1,1,3
117,2019,1,10.55,1,1,3
118,2020,1,5.96,1,1,3
119,2021,1,5.93,1,1,3
120,1992,1,3.51,1,2,4
121,1993,1,3.67,1,2,4
122,1994,1,2.89,1,2,4
123,1995,1,2.57,1,2,4
124,1996,1,2.06,1,2,4
125,1997,1,2.6,1,2,4
126,1998,1,2.85,1,2,4
127,1999,1,3.32,1,2,4
128,2000,1,3.78,1,2,4
129,2001,1,4.5,1,2,4
130,2002,1,4.5,1,2,4
131,2003,1,4.42,1,2,4
132,2004,1,4.26,1,2,4
133,2005,1,4.32,1,2,4
134,2006,1,4.17,1,2,4
135,2007,1,4.19,1,2,4
136,2008,1,4.4,1,2,4
137,2009,1,4.3,1,2,4
138,2010,1,4.15,1,2,4
139,2011,1,4.25,1,2,4
140,2012,1,4.78,1,2,4
141,2013,1,4.95,1,2,4
142,2014,1,5.22,1,2,4
143,2015,1,5.8,1,2,4
144,2016,1,5.41,1,2,4
145,2017,1,5.2,1,2,4
146,2018,1,5.57,1,2,4
147,2019,1,5.55,1,2,4
148,2020,1,5.39,1,2,4
149,2021,1,5.19,1,2,4
150,1992,1,8.43,1,0,5
151,1993,1,9.05,1,0,5
152,1994,1,9.28,1,0,5
153,1995,1,9.47,1,0,5
154,1996,1,10.01,1,0,5
155,1997,1,10.18,1,0,5
156,1998,1,10.97,1,0,5
157,1999,1,11.01,1,0,5
158,2000,1,11.16,1,0,5
159,2001,1,10.97,1,0,5
160,2002,1,11.09,1,0,5
161,2003,1,10.69,1,0,5
162,2004,1,10.79,1,0,5
163,2005,1,10.7,1,0,5
164,2006,1,10.56,1,0,5
165,2007,1,10.47,1,0,5
166,2008,1,10.65,1,0,5
167,2009,1,11.08,1,0,5
168,2010,1,10.84,1,0,5
169,2011,1,10.75,1,0,5
170,2012,1,11.27,1,0,5
171,2013,1,11.33,1,0,5
172,2014,1,11.47,1,0,5
173,2015,1,12.21,1,0,5
174,2016,1,12.57,1,0,5
175,2017,1,12.53,1,0,5
176,2018,1,13.19,1,0,5
177,2019,1,13.73,1,0,5
