,ID_PAIS,ANIO,ID_INDICADOR,VALOR,ID_CONTINENTE,ID_INCOME
0,0,1992,38,3.71,1,2
1,0,1993,38,3.96,1,2
2,0,1994,38,4.06,1,2
3,0,1995,38,4.28,1,2
4,0,1996,38,4.53,1,2
5,0,1997,38,4.62,1,2
6,0,1998,38,4.72,1,2
7,0,1999,38,4.76,1,2
8,0,2000,38,4.95,1,2
9,0,2001,38,4.85,1,2
10,0,2002,38,8.48,1,2
11,0,2003,38,7.82,1,2
12,0,2004,38,7.09,1,2
13,0,2005,38,7.02,1,2
14,0,2006,38,7.13,1,2
15,0,2007,38,7.33,1,2
16,0,2008,38,6.93,1,2
17,0,2009,38,6.93,1,2
18,0,2010,38,6.48,1,2
19,0,2011,38,6.06,1,2
20,0,2012,38,5.97,1,2
21,0,2013,38,5.92,1,2
22,0,2014,38,5.97,1,2
23,0,2015,38,5.42,1,2
24,1,1992,38,7.9,5,0
25,1,1993,38,8.5,5,0
26,1,1994,38,9.52,5,0
27,1,1995,38,9.45,5,0
28,1,1996,38,9.65,5,0
29,1,1997,38,8.99,5,0
30,1,1998,38,8.97,5,0
31,1,1999,38,9.77,5,0
32,1,2000,38,9.45,5,0
33,1,2001,38,9.33,5,0
34,1,2002,38,9.58,5,0
35,1,2003,38,9.81,5,0
36,1,2004,38,9.14,5,0
37,1,2005,38,8.86,5,0
38,1,2006,38,8.88,5,0
39,1,2007,38,9.68,5,0
40,1,2008,38,8.85,5,0
41,1,2009,38,8.97,5,0
42,1,2010,38,8.54,5,0
43,1,2011,38,8.2,5,0
44,1,2012,38,7.78,5,0
45,1,2013,38,8.23,5,0
46,1,2014,38,8.87,5,0
47,1,2015,38,8.78,5,0
48,2,1992,38,21.6,2,2
49,2,1993,38,22.17,2,2
50,2,1994,38,25.81,2,2
51,2,1995,38,14.27,2,2
52,2,1996,38,21.24,2,2
53,2,1997,38,23.63,2,2
54,2,1998,38,28.98,2,2
55,2,1999,38,23.94,2,2
56,2,2000,38,29.03,2,2
57,2,2001,38,28.38,2,2
58,2,2002,38,23.96,2,2
59,2,2003,38,25.46,2,2
60,2,2004,38,27.67,2,2
61,2,2005,38,26.02,2,2
62,2,2006,38,27.17,2,2
63,2,2007,38,26.95,2,2
64,2,2008,38,25.53,2,2
65,2,2009,38,22.91,2,2
66,2,2010,38,19.68,2,2
67,2,2011,38,19.13,2,2
68,2,2012,38,21.26,2,2
69,2,2013,38,21.69,2,2
70,2,2014,38,25.66,2,2
71,2,2015,38,25.71,2,2
72,3,1992,38,8.43,1,1
73,3,1993,38,8.77,1,1
74,3,1994,38,8.92,1,1
75,3,1995,38,8.08,1,1
76,3,1996,38,7.36,1,1
77,3,1997,38,9.37,1,1
78,3,1998,38,8.99,1,1
79,3,1999,38,9.11,1,1
80,3,2000,38,9.51,1,1
81,3,2001,38,8.98,1,1
82,3,2002,38,10.17,1,1
83,3,2003,38,12.61,1,1
84,3,2004,38,12.81,1,1
85,3,2005,38,14.02,1,1
86,3,2006,38,13.2,1,1
87,3,2007,38,12.11,1,1
88,3,2008,38,10.59,1,1
89,3,2009,38,9.99,1,1
90,3,2010,38,9.45,1,1
91,3,2011,38,10.84,1,1
92,3,2012,38,11.25,1,1
93,3,2013,38,11.56,1,1
94,3,2014,38,12.78,1,1
95,3,2015,38,12.36,1,1
96,4,1992,38,3.51,1,2
97,4,1993,38,3.67,1,2
98,4,1994,38,2.89,1,2
99,4,1995,38,2.57,1,2
100,4,1996,38,2.06,1,2
101,4,1997,38,2.6,1,2
102,4,1998,38,2.85,1,2
103,4,1999,38,3.32,1,2
104,4,2000,38,3.78,1,2
105,4,2001,38,4.5,1,2
106,4,2002,38,4.5,1,2
107,4,2003,38,4.42,1,2
