,Pais,EV_2020,EV_2025,EV_2025_Mejora,ID_INCOME
0,USA,77.28,79.4677,79.4677,0
1,CAN,81.75,83.1996,83.1996,0
2,MEX,75.13,75.5159,75.5182,2
3,CRI,80.46,81.3738,81.3738,2
4,PAN,78.68,78.9485,78.9437,0
5,BRA,76.08,77.5264,77.7694,2
6,ARG,76.81,77.5793,77.6446,2
7,CHL,80.33,80.5789,80.5794,0
8,URY,78.06,78.9853,79.2143,0
9,BOL,71.77,71.8279,71.2243,1
10,PER,76.95,77.7721,77.7871,2
11,EGY,72.15,72.8929,73.088,1
12,LBY,73.08,73.9673,73.9501,2
13,ZAF,64.38,65.4048,65.4174,2
14,NGA,55.02,56.3427,56.3411,1
15,MAR,76.9,76.7638,76.798,1
16,AUS,83.2,84.1677,84.2073,0
17,CHN,77.1,78.7486,78.7531,2
18,IND,69.89,72.3654,72.4823,1
19,THA,77.34,76.5989,76.5833,1
20,JPN,84.62,85.0192,85.0192,0
21,KOR,83.43,84.9907,85.0735,0
22,ISR,82.7,84.35,85.2523,0
23,SAU,75.28,76.6111,76.5963,0
24,MYS,76.31,77.2682,77.2502,2
25,IDN,71.91,73.5233,73.5233,1
26,RUS,71.34,71.5252,71.7622,2
27,TUR,77.93,78.9561,79.1677,2
28,ESP,82.33,86.2391,85.9888,0
29,BGR,73.61,75.7472,75.6878,2
30,FRA,82.18,83.4726,83.4726,0
31,ITA,82.34,83.4387,83.4387,0
32,DEU,80.94,82.0783,82.0783,0
33,GBR,80.9,83.4782,83.4782,0
34,NOR,83.21,84.314,84.0282,0
35,SWE,82.41,84.2048,84.1023,0
36,GRC,81.09,84.2155,84.2155,0
