,Pais,EV_2020,EV_2025,EV_2025_Mejora,ID_INCOME
0,USA,77.28,78.1242,78.1242,0
1,CAN,81.75,82.8363,82.8363,0
2,MEX,75.13,75.5848,75.553,2
3,CRI,80.46,81.3871,81.3977,2
4,PAN,78.68,79.5189,79.5212,0
5,BRA,76.08,77.2292,76.9085,2
6,ARG,76.81,77.5729,77.5826,2
7,CHL,80.33,81.2816,81.3086,0
8,URY,78.06,81.2836,81.3195,0
9,BOL,71.77,73.3093,73.3257,1
10,PER,76.95,77.7507,77.8068,2
11,EGY,72.15,72.2924,71.8991,1
12,LBY,73.08,73.2246,73.2325,2
13,ZAF,64.38,64.7226,64.6835,2
14,NGA,55.02,56.4255,56.3976,1
15,MAR,76.9,77.8971,77.8904,1
16,AUS,83.2,84.404,84.404,0
17,CHN,77.1,79.3207,79.3207,2
18,IND,69.89,71.3315,71.2841,1
19,THA,77.34,79.1683,79.1683,1
20,JPN,84.62,85.7223,85.3826,0
21,KOR,83.43,85.219,85.005,0
22,ISR,82.7,84.8208,84.8208,0
23,SAU,75.28,75.9572,75.9496,0
24,MYS,76.31,77.1712,76.8654,2
25,IDN,71.91,72.9546,72.9636,1
26,RUS,71.34,70.8364,72.406,2
27,TUR,77.93,79.2851,79.222,2
28,ESP,82.33,84.7391,84.4925,0
29,BGR,73.61,76.3233,76.8798,2
30,FRA,82.18,84.1356,84.0085,0
31,ITA,82.34,83.5627,83.5627,0
32,DEU,80.94,81.7281,81.7281,0
33,GBR,80.9,82.4041,82.3903,0
34,NOR,83.21,84.6302,84.6286,0
35,SWE,82.41,83.7105,83.7219,0
36,GRC,81.09,83.1202,82.6469,0
