,Pais,EV_2020,EV_2025,EV_2025_Mejora,ID_INCOME
0,USA,77.28,78.2084,78.2084,0
1,CAN,81.75,82.7727,82.7727,0
2,MEX,75.13,75.4923,75.4937,2
3,CRI,80.46,81.1103,81.0872,2
4,PAN,78.68,79.5222,79.48,0
5,BRA,76.08,77.4091,77.4056,2
6,ARG,76.81,77.4487,77.4446,2
7,CHL,80.33,80.8336,80.7986,0
8,URY,78.06,79.0204,79.0204,0
9,BOL,71.77,74.4941,74.4941,1
10,PER,76.95,77.7981,77.8208,2
11,EGY,72.15,72.906,72.9063,1
12,LBY,73.08,73.6073,73.5602,2
13,ZAF,64.38,65.3734,65.3763,2
14,NGA,55.02,56.309,56.3131,1
15,MAR,76.9,79.4951,79.4951,1
16,AUS,83.2,84.5759,84.5759,0
17,CHN,77.1,77.6521,77.7557,2
18,IND,69.89,71.6366,71.6237,1
19,THA,77.34,79.2044,79.2044,1
20,JPN,84.62,85.7385,85.7327,0
21,KOR,83.43,85.1729,85.1727,0
22,ISR,82.7,84.8431,84.8431,0
23,SAU,75.28,75.8144,75.8204,0
24,MYS,76.31,77.3527,77.3234,2
25,IDN,71.91,73.3249,73.3074,1
26,RUS,71.34,77.788,77.7865,2
27,TUR,77.93,79.5166,79.5176,2
28,ESP,82.33,85.2878,85.2878,0
29,BGR,73.61,76.5336,76.5336,2
30,FRA,82.18,84.4694,84.4694,0
31,ITA,82.34,82.5251,82.5251,0
32,DEU,80.94,82.0554,82.0554,0
33,GBR,80.9,82.3957,82.3957,0
34,NOR,83.21,84.6028,84.6031,0
35,SWE,82.41,83.9364,83.9364,0
36,GRC,81.09,82.6137,82.6137,0
