,SP.DYN.LE00.IN
0,61.738
1,61.49
2,64.194
3,63.886
4,66.181
5,66.125
6,74.213
7,74.053
8,79.819512195122
9,79.6682926829268
10,75.493
11,75.4
12,72.066
13,72.064
14,70.623
15,70.474
16,71.848
17,71.725
18,78.056
19,77.911
20,77.2804878048781
21,78.7878048780488
22,80.9024390243903
23,81.2048780487805
24,78.12
25,77.972
26,71.1851219512195
27,71.8273170731707
28,63.713
29,63.368
30,68.313
31,68.191
32,77.928
33,77.691
34,76.891
35,76.699
36,73.628
37,73.507
38,71.018
39,70.907
40,61.34
41,61.042
42,69.712
43,69.495
44,77.344
45,77.15
46,65.815
47,65.456
48,71.301
49,71.097
50,73.651
51,72.697
52,83.1
53,83.9048780487805
54,82.4073170731707
55,83.109756097561
56,71.802
57,71.682
58,65.53
59,65.311
60,72.658
61,72.534
62,80.1219512195122
63,79.9731707317073
64,76.343
65,76.203
66,77.144
67,76.978
68,82.3341463414634
69,83.8317073170732
70,58.095
71,57.846
72,64.379
73,64.131
74,57.697
75,57.397
76,73.132
77,72.996
78,80.5317073170732
79,81.5292682926829
80,76.8658536585366
81,77.6658536585366
82,83.7439024390244
83,83.5951219512195
84,55.066
85,54.696
86,77.2365853658537
87,74.0463414634146
88,74.2292682926829
89,75.9365853658537
90,68.213
91,67.941
92,75.28
93,75.133
94,70.583
95,70.385
96,73.45
97,73.321
98,69.329
99,69.024
100,71.3387804878049
101,73.0839024390244
102,74.3536585365854
103,75.6073170731707
104,80.363
105,80.227
106,80.0874634146342
107,79.928512195122
108,80.9756097560976
109,81.6756097560976
110,76.6
111,77.9048780487805
112,71.36
113,71.231
114,76.947
115,76.736
116,74.363
117,74.254
118,64.725
119,64.501
120,78.68
121,78.506
122,67.428
123,67.273
124,78.078
125,77.861
126,83.209756097561
127,82.9585365853659
128,75.6931707317073
129,76.6024390243903
130,55.018
131,54.687
132,62.792
133,62.42
134,74.697
135,74.485
136,82.0560975609756
137,81.7073170731707
138,77.7711707317073
139,77.6341463414634
140,81.409756097561
141,82.1121951219512
142,71.067
143,70.778
144,64.045
