,pib_per_capita
0,30149.4233956115
1,2156.35486720168
3,2025.09589391156
4,3271.27026481217
5,3860.80462705845
7,10065.1913609398
8,98253.4051807511
9,11605.5922794664
10,2655.32398386298
12,16823.984916947
13,26343.0767025713
14,29376.0197364753
15,3381.66620983258
16,526.482060099412
17,27784.5715041684
18,1757.72101088054
19,920.891694757379
20,1330.03555982657
21,6421.95913484706
22,42133.9801189247
23,28002.3448313742
24,4598.15511649687
25,5801.75812955797
26,5543.80054258926
27,53921.7736769822
28,3433.7107446305
29,9050.49404752227
30,12693.283190158
31,66363.6503955843
32,2693.31484023242
33,8452.35276471897
34,673.674570463057
35,29362.0841609786
36,10015.3579144253
37,36772.6946184421
39,9585.72243422563
40,2917.24252974442
41,3270.10903289084
42,2026.52049548665
43,446.574197938026
44,3695.02544447905
45,6682.7723317809
46,1799.25045905822
47,3028.75208346925
48,7829.53409994661
49,9503.81480526393
51,21888.347108869
53,21288.509765625
54,16235.4806329245
55,27199.0440906856
57,6508.88779867185
58,28658.1249551454
59,6752.44820584641
60,8436.99095981875
61,3309.9099651386
62,4174.04896745901
63,5774.617178605
64,6222.84478396278
65,15952.5871924678
66,5832.26852407189
67,5787.54213043595
68,25314.4093592825
69,1526.84692385702
70,21584.2512044454
71,9421.29142254113
72,482.335745712974
73,22073.7120284769
74,2672.27684528356
75,26784.7064716385
76,5830.07173036294
77,26090.6344736521
79,2486.50658550013
80,13836.6116265439
81,26472.1937143329
82,3100.98840329003
83,1769.52378357513
85,1222.94987320674
86,1911.60135085944
87,1071.29126247509
88,8607.94383249116
89,19516.1972208894
90,7632.56764769532
92,4758.24808060095
94,6007.44517266965
95,27570.8482113931
96,28221.122624906
97,2588.38761996018
98,1309.25820824261
99,10683.6035193701
100,2185.93279249415
101,11853.1785173624
102,4466.36785760374
103,3874.34578314731
104,1688.77026040496
105,2549.98623978387
106,4738.55477676289
107,1257.86970188095
109,2093.2659895522
111,30205.6572262763
112,10858.0439983549
113,11045.9031295124
114,29779.0931996058
115,24951.2175653146
116,27072.4213631819
117,6348.62591630475
118,5930.46635835424
119,27287.2701912718
120,7725.00252344745
121,1827.82640751511
122,1861.62166064398
123,1074.18835149116
124,1572.59822896877
125,15657.7087807683
126,18538.8355325592
127,56115.4656509673
128,8442.74677014414
129,1829.88738517466
130,8941.94577763575
131,992.274952720831
132,20411.0190814986
133,9254.61943450335
134,8685.57993107089
135,1221.12858913642
136,1002.91477895829
138,4334.75223545801
139,2908.50245017638
140,3731.35670397275
141,1254.78892147735
142,4787.55171030681
143,8445.89921321294
144,55117.2564793938
145,8039.50636620464
146,34917.728142218
148,3575.283203125
150,3080.23176765558
151,1294.37538369486
152,8450.93931932742
153,11464.9782124073
154,11089.4899949864
155,2415.54474808289
156,3969.27836791289
157,6151.79686575444
158,1133.25181105487
159,18355.4967894141
160,824.962766530913
161,7294.32544125055
162,6001.79131234555
163,3725.01442674746
165,477.767263791463
166,3037.61504484161
167,9017.16881216895
168,964.775552713715
169,12898.5033244707
170,35650.123216695
171,5196.74454201203
173,776.196451772134
174,2303.4943787612
175,2780.03592516083
176,31870.8335122969
177,36936.4865054381
178,1349.96228566931
180,21513.702767374
181,24648.3468913201
182,40912.3534252783
183,11144.3755326996
184,2951.41330920084
185,8358.2248170913
186,5037.53715916247
187,3435.63084945186
188,9945.56200602568
189,2079.08904688806
190,10672.1210858296
191,2063.32963819955
192,22935.2028836808
194,18876.6594757578
195,6646.61252661262
196,2782.16056095039
197,3827.41508475445
198,26939.921668007
200,96713.1055113531
201,5848.08495477489
202,6825.3916015625
203,630.38573464807
204,2111.43297915724
205,39837.3086767121
206,2645.41796875
207,1997.19959415114
208,43775.8726538541
209,1631.54546575539
210,692.224607383926
211,4461.82106239076
212,52414.030324265
214,6019.11492628876
215,2100.52183217776
217,2102.0092135879
218,10296.5555740653
220,7625.70110152396
221,11376.5559243662
222,18001.2291555596
223,29618.2792561377
224,4716.60459015922
226,14255.2051859434
229,764.713422212721
230,3348.06988819697
231,6641.78693811631
232,971.34984956092
233,7294.59441934284
234,1047.40259545181
235,4270.15702110624
236,8607.69624744326
237,1249.45600652806
238,7343.08386307985
239,3645.23846566012
240,2111.43297915724
241,2102.0092135879
242,14530.7072546716
243,6314.80729722401
244,9628.91470174629
245,2589.19762647393
246,1189.93017578125
247,1140.70577259671
248,4260.27685546875
249,5165.00528891382
250,10243.4493179727
251,36329.9560727102
252,2658.59476032295
253,6849.44187760068
254,11735.6405971638
257,2523.72550832889
258,2221.49757229939
259,8036.27603748495
260,3259.59527818072
262,2957.06796295957
263,8488.86281006101
264,1643.05084027082
